ExperimentName,participante,Session,SessionDate,SessionTime,Cond,pronome,referencia,item,tt2,tt2.RT,tt3,tt3.RT,tt4,tt4.RT,tt5,tt5.RT,tt6,tt6.RT,tt7,tempo.pronome,tt8,tempo.adverbio,tt9,tt9.RT,tt10,tt10.RT,tt11,tt11.RT,tt12,tt12.RT,tt13,tt13.RT,tt14,tt14.RT,Comp
Lista1,1a,1,9/10/13,15:07:23,2,s,ind,i_39,+,508,Sueli,791,trabalhava,790,como,677,advogada,921,e ele,947,semanalmente,540,revisava,726,todos os contratos,744,de licitação,457,e de venda,646,ali na sede,667,da construtora.,560,1847
Lista1,1a,1,9/10/13,15:07:23,2,s,inf,i_26,Na santa casa de saúde,1160,Aline,553,nunca,497,parava,461,para descansar,794,e ele,425,raramente,503,chamava,498,outras pessoas,541,para ajudá-la,679,com o trabalho,635,nos plantões,625,do turno da noite.,631,1855
Lista1,1a,1,9/10/13,15:07:23,2,s,cor,i_20,+,430,Emerson,748,fofocava,605,sobre,452,qualquer coisa,641,e ele,454,obviamente,531,adorava,397,ouvir,413,uma fofoca maldosa,1052,e bem contada,880,sobre detalhes,748,da vida alheia.,701,2345
Lista1,1a,1,9/10/13,15:07:23,2,p,inf,i_32,Na lanchonete vegetariana,1308,Celina,391,sempre,535,se alimentava,560,muito bem,521,e eles,419,geralmente,433,preparavam,335,as refeições,576,apenas,425,com alimentos saudáveis,775,e produzidos,743,de forma orgânica.,680,1776
Lista1,1a,1,9/10/13,15:07:23,2,s,inf,i_16,Na mesa de operações,1367,Fernanda,526,estava,440,sentindo,582,muita dor,429,e ele,492,felizmente,504,sabia,515,como aliviar,477,aquele sofrimento,650,sem fim,367,de forma,543,muito rápida.,632,1494
Lista1,1a,1,9/10/13,15:07:23,2,p,inf,i_1,Ali na confecção da loja,1205,Adriana,612,costurava,282,por dez horas,686,todo dia,434,e eles,463,ainda assim,828,diziam,538,que o trabalho,547,de costura,749,era muito tranquilo,797,e quase nada,813,cansativo.,539,2093
Lista1,1a,1,9/10/13,15:07:23,2,p,cor,i_24,+,530,Samuel e Zuleica,1340,não,821,davam conta,659,de suas obrigações,520,e eles,770,frequentemente,610,contratavam,409,funcionários,600,para cobrir,318,o trabalho que sobrava,769,quando as coisas,801,apertavam.,479,1687
Lista1,1a,1,9/10/13,15:07:23,2,s,inf,i_13,Dentro da Polícia Federal,1110,Marília,456,era,469,rebelde,369,ao extremo,513,e ele,460,frequentemente,889,comentava,596,que isso,412,atrapalhava bastante,779,a carreira,747,e qualquer plano,748,de promoção.,701,1938
Lista1,1a,1,9/10/13,15:07:23,2,p,cor,i_14,+,351,Caetano e Cléber,1136,eram,417,sempre,431,ríspidos e rudes,237,e eles,1267,naturalmente,495,recebiam,602,muitas críticas,497,por causa,573,desse comportamento,389,e de seu péssimo,1188,humor.,402,1459
Lista1,1a,1,9/10/13,15:07:23,2,p,ind,i_31,+,421,Alice,643,sempre,553,comia,401,bastante carne,640,e eles,550,geralmente,447,assavam,492,uma picanha,536,suculenta,529,e apetitosa,619,ali na churrascaria,1057,do Leblon.,758,1684
Lista1,1a,1,9/10/13,15:07:23,2,s,inf,i_7,Na cantina italiana,1057,Samira,421,cozinhava,931,com muita,749,pimenta,478,e ele,538,certamente,531,achava,461,que isso afastaria,938,os clientes,787,mais sensíveis,723,e de paladar,773,mais delicado.,677,2448
Lista1,1a,1,9/10/13,15:07:23,2,s,cor,i_23,+,334,Leonardo,560,gastava,472,sem,437,se preocupar,514,e ele,573,inclusive,501,parcelava,720,todas aquelas compras,738,em várias vezes,1331,com juros,573,em seus cartões,853,de crédito.,593,2642
Lista1,1a,1,9/10/13,15:07:23,2,p,cor,i_15,+,440,Antônio e Isabela,1238,estavam,531,sempre,605,na correria,740,e eles,485,quase nunca,673,deixavam,565,os funcionários,717,contratados,575,tirarem uma folga,1064,durante as horas,748,do expediente.,685,2356
Lista1,1a,1,9/10/13,15:07:23,2,p,cor,i_42,+,350,Beatriz e Cândido,848,viajavam,957,quase,645,todo dia,347,e eles,444,quase sempre,682,tentavam,445,fazer as reservas,763,dos voos,619,em classe executiva,753,quando a viagem,690,era longa.,437,2135
Lista1,1a,1,9/10/13,15:07:23,2,p,inf,i_30,Nas negociações da empresa,1181,Vitória,492,sabia,408,usar bem,487,sua lábia,466,e eles,510,obviamente,457,dependiam,438,desse talento único,1028,para ganhar,569,dinheiro,434,às custas,479,de seus clientes.,779,2031
Lista1,1a,1,9/10/13,15:07:23,2,p,ind,i_4,+,463,Cristina,556,adorava,485,ouvir,401,boa música,447,e eles,397,quase sempre,509,tocavam,536,alguma coisa,529,que lhe agradava,811, e animava,634,ali na quermesse,847,do bairro.,1084,1974
Lista1,1a,1,9/10/13,15:07:23,2,p,ind,i_2,+,430,Natália,733,sempre,430,mostrou,460,bastante dedicação,617,e eles,495,obviamente,475,estavam,407,muito contentes,614,com o desempenho,461,tão exemplar,378,na enfermaria,522,da clínica.,436,1453
Lista1,1a,1,9/10/13,15:07:23,2,s,cor,i_41,+,392,Diogo,679,traduzia,443,obras,553,importantes,514,e ele,429, felizmente,443,conseguia,312,um bom lucro,763,publicando,380,as melhores traduções,1212,na forma,1179,de coleções especiais.,938,2355
Lista1,1a,1,9/10/13,15:07:23,2,s,cor,i_18,+,314,Josué,573,falava,373,feito,261,uma matraca,538,e ele,420,quase nunca,658,percebia,503,quão inconveniente,626,era,952,aquele falatório,656,em meio,517,às outras vozes.,687,2234
Lista1,1a,1,9/10/13,15:07:23,2,p,cor,i_8,+,372,Regina e Mateus,740,entoavam,421,canções,532,populares,717,e eles,624,rapidamente,406,seguiam,469,a melodia cantada,721,com um batuque,787,animado,386,para dar cadência,866,à música.,542,1894
Lista1,1a,1,9/10/13,15:07:23,2,p,inf,i_35,Na delegacia distrital,1005,Bárbara,595,tinha fama,619,de ser,417,muito brava,510,e eles,410,obviamente,408,respeitavam,631,apenas,541,superiores,439,que fossem autoritários,1092,e impusessem,887,respeito.,594,2072
Lista1,1a,1,9/10/13,15:07:23,2,s,inf,i_22,Na filial da Globo,365,Mariana,942,ganhava bem,1015,como ,398,maquiadora,493,e ele,473,claramente,293,estava,601,bastante contente,592,com o trabalho,359,realizado,552,junto às atrizes,801,mais famosas.,671,1503
Lista1,1a,1,9/10/13,15:07:23,2,s,ind,i_33,+,416,Nádia,510,só cantava,506,música,389,sertaneja,324,e ele,438,geralmente,372,prometia,404,um novo repertório,611,para cada,506,show feito,405,na casa noturna,979,da cidade.,475,1522
Lista1,1a,1,9/10/13,15:07:23,2,s,ind,i_34,+,334,Jéssica,511,tinha,362,uma paciência,363,incrível,412,e ele,331,geralmente,333,recebia,367,elogios,416,pelo trabalho,334,que ela desempenhava,447,na clínica,1309,de pediatria.,615,1197
Lista1,1a,1,9/10/13,15:07:23,2,p,inf,i_38,Na secretaria de cultura,1093,Marcela,568,tomou posse,528,como,971,secretária,642,e eles,424,certamente,358,estavam,423,bem contentes,645,com sua nomeação,427,inesperada,905,feita pelo ministro,995,da cultura.,778,1977
Lista1,1a,1,9/10/13,15:07:23,2,p,ind,i_5,+,323,Carolina,421,anunciou,452,sua,417,aposentadoria,687,e eles,450,naturalmente,383,lamentavam,463,o fim prematuro,812,de uma carreira,954,tão bela,435,na companhia,496,de balé.,492,2201
Lista1,1a,1,9/10/13,15:07:23,2,p,ind,i_37,+,337,Valéria,499,tocava,413,guitarra,493,como ninguém,585,e eles,432,claramente,381,sentiam,398,bastante orgulho,493,de um talento,505,tão natural,1108,ali na escola,742,de música.,519,2106
Lista1,1a,1,9/10/13,15:07:23,2,s,ind,i_28,+,361,Irene,410,passava,441,toneladas,455,de roupa,468,e ele,352,claramente,641,dependia,390,daquelas roupas todas,694,para conseguir,361,algum lucro,506,na lavanderia,357,onde trabalhava.,646,1561
Lista1,1a,1,9/10/13,15:07:23,2,s,inf,i_11,Durante as aulas de teatro,1360,Lorena,440,era,390,uma pessoa,374,bem tímida,422,e ele,500,raramente,511,conseguia,442,superar,424,aquela timidez,710,quase doentia,920,nas atividades,882,em grupo.,830,2054
Lista1,1a,1,9/10/13,15:07:23,2,s,ind,i_27,+,339,Suzana,580,nunca foi,332,muito,222,responsável,484,e ele,352,com frequência,337,perdia,403,vários clientes,290,e muito dinheiro,821,por causa disso,355,ali na agência,340,de viagens.,678,1466
Lista1,1a,1,9/10/13,15:07:23,2,p,ind,i_12,+,293,Joana,441,era,310,professora,346,fazia tempo,555,e eles,548,quase nunca,541,recebiam,823,reclamações graves,725,sobre as aulas,471,que eram dadas,499,ali,542,na escola estadual.,695,1695
Lista1,1a,1,9/10/13,15:07:23,2,p,cor,i_9,+,240,Eduardo e Eliane,214,eram,1005,competentes,468,no que faziam,736,e eles,593,inclusive,505,dependiam,387,dessa competência,579,para fechar,875,vários contratos,711,com clientes,682,milionários.,509,2165
Lista1,2a,1,11/10/13,18:08:45,2,s,ind,i_34,+,412,Jéssica,667,tinha,495,uma paciência,730,incrível,732,e ele,654,geralmente,722,recebia,756,elogios,805,pelo trabalho,932,que ela desempenhava,1677,na clínica,617,de pediatria.,767,3414
Lista1,2a,1,11/10/13,18:08:45,2,s,inf,i_7,Na cantina italiana,1264,Samira,1292,cozinhava,743,com muita,808,pimenta,1079,e ele,538,certamente,692,achava,711,que isso afastaria,970,os clientes,609,mais sensíveis,504,e de paladar,499,mais delicado.,638,2083
Lista1,2a,1,11/10/13,18:08:45,2,p,inf,i_25,Nas aulas de recuperação,909,Verônica,375,não costumava,568,estudar,352,muito,497,e eles,620,naturalmente,530,tentavam,477,escolher,521,tópicos de estudo,995,que a motivassem,554,e melhorassem,467,seu desempenho.,479,2070
Lista1,2a,1,11/10/13,18:08:45,2,s,ind,i_36,+,512,Carina,827,tocava,1593,flauta,5543,sem muito empenho,1636,e ele,384,obviamente,448,estava,493,bastante descontente,889,com,372,aquela situação,453,nas apresentações,641,da orquestra.,455,1714
Lista1,2a,1,11/10/13,18:08:45,2,p,inf,i_10,Na loja onde trabalhava,1308,Solange,534,era,592,mais sincera,455,do que deveria,1540,e eles,693,inclusive,616,viviam,510,enfrentando,713,problemas graves,732,por causa disso,477,e de sua falta,490,de educação.,581,1922
Lista1,2a,1,11/10/13,18:08:45,2,s,inf,i_16,Na mesa de operações,933,Fernanda,575,estava,615,sentindo,653,muita dor,866,e ele,590,felizmente,485,sabia,593,como aliviar,664,aquele sofrimento,589,sem fim,533,de forma,606,muito rápida.,517,1786
Lista1,2a,1,11/10/13,18:08:45,2,p,inf,i_38,Na secretaria de cultura,1483,Marcela,494,tomou posse,441,como,423,secretária,533,e eles,431,certamente,573,estavam,517,bem contentes,543,com sua nomeação,537,inesperada,594,feita pelo ministro,874,da cultura.,470,1674
Lista1,2a,1,11/10/13,18:08:45,2,p,inf,i_35,Na delegacia distrital,2662,Bárbara,904,tinha fama,659,de ser,824,muito brava,501,e eles,672,obviamente,548,respeitavam,589,apenas,517,superiores,751,que fossem autoritários,928,e impusessem,442,respeito.,487,2196
Lista1,2a,1,11/10/13,18:08:45,2,p,ind,i_4,+,518,Cristina,1136,adorava,496,ouvir,1244,boa música,744,e eles,506,quase sempre,533,tocavam,494,alguma coisa,570,que lhe agradava,1026, e animava,503,ali na quermesse,450,do bairro.,783,2099
Lista1,2a,1,11/10/13,18:08:45,2,s,cor,i_20,+,591,Emerson,679,fofocava,411,sobre,1242,qualquer coisa,663,e ele,555,obviamente,468,adorava,432,ouvir,510,uma fofoca maldosa,937,e bem contada,530,sobre detalhes,1004,da vida alheia.,834,1977
Lista1,2a,1,11/10/13,18:08:45,2,p,cor,i_24,+,382,Samuel e Zuleica,494,não,921,davam conta,403,de suas obrigações,818,e eles,560,frequentemente,713,contratavam,539,funcionários,565,para cobrir,493,o trabalho que sobrava,953,quando as coisas,402,apertavam.,1073,2011
Lista1,2a,1,11/10/13,18:08:45,2,p,cor,i_14,+,468,Caetano e Cléber,928,eram,426,sempre,392,ríspidos e rudes,1095,e eles,522,naturalmente,1109,recebiam,583,muitas críticas,3629,por causa,617,desse comportamento,4927,e de seu péssimo,517,humor.,543,9173
Lista1,2a,1,11/10/13,18:08:45,2,s,inf,i_26,Na santa casa de saúde,1247,Aline,508,nunca,518,parava,561,para descansar,953,e ele,530,raramente,652,chamava,833,outras pessoas,813,para ajudá-la,1020,com o trabalho,529,nos plantões,555,do turno da noite.,788,2362
Lista1,2a,1,11/10/13,18:08:45,2,p,cor,i_42,+,485,Beatriz e Cândido,993,viajavam,408,quase,455,todo dia,516,e eles,462,quase sempre,555,tentavam,820,fazer as reservas,434,dos voos,543,em classe executiva,841,quando a viagem,438,era longa.,579,1818
Lista1,2a,1,11/10/13,18:08:45,2,p,cor,i_40,+,437,Ângelo e Chico,914,trabalhavam,445,como,587,secretários,642,e eles,439,geralmente,501,recebiam,512,várias ligações,715,de pessoas,541,muito importantes,551,ao longo,480,de todo o dia.,604,1807
Lista1,2a,1,11/10/13,18:08:45,2,p,inf,i_30,Nas negociações da empresa,1197,Vitória,492,sabia,504,usar bem,531,sua lábia,525,e eles,487,obviamente,547,dependiam,508,desse talento único,823,para ganhar,581,dinheiro,525,às custas,519,de seus clientes.,625,1929
Lista1,2a,1,11/10/13,18:08:45,2,s,ind,i_39,+,489,Sueli,469,trabalhava,529,como,507,advogada,566,e ele,510,semanalmente,905,revisava,547,todos os contratos,829,de licitação,411,e de venda,522,ali na sede,516,da construtora.,686,1762
Lista1,2a,1,11/10/13,18:08:45,2,p,cor,i_8,+,485,Regina e Mateus,929,entoavam,474,canções,743,populares,440,e eles,533,rapidamente,591,seguiam,790,a melodia cantada,454,com um batuque,914,animado,477,para dar cadência,841,à música.,518,1845
Lista1,2a,1,11/10/13,18:08:45,2,s,cor,i_23,+,389,Leonardo,565,gastava,429,sem,444,se preocupar,777,e ele,489,inclusive,517,parcelava,431,todas aquelas compras,925,em várias vezes,807,com juros,630,em seus cartões,939,de crédito.,437,2362
Lista1,2a,1,11/10/13,18:08:45,2,s,ind,i_29,+,465,Talita,557,roncava,486,além,450,do aceitável,495,e ele,426,inclusive,521,chegava,659,a despertar,472,com aquela sinfonia,1108,de roncos,422,na hospedagem,548,da vila.,477,2002
Lista1,2a,1,11/10/13,18:08:45,2,s,cor,i_41,+,418,Diogo,544,traduzia,442,obras,424,importantes,454,e ele,611, felizmente,473,conseguia,422,um bom lucro,532,publicando,461,as melhores traduções,987,na forma,433,de coleções especiais.,480,1980
Lista1,2a,1,11/10/13,18:08:45,2,p,cor,i_15,+,395,Antônio e Isabela,811,estavam,425,sempre,408,na correria,887,e eles,450,quase nunca,527,deixavam,521,os funcionários,514,contratados,702,tirarem uma folga,896,durante as horas,379,do expediente.,571,2112
Lista1,2a,1,11/10/13,18:08:45,2,s,ind,i_33,+,473,Nádia,566,só cantava,510,música,441,sertaneja,486,e ele,466,geralmente,446,prometia,460,um novo repertório,792,para cada,376,show feito,920,na casa noturna,482,da cidade.,525,2088
Lista1,2a,1,11/10/13,18:08:45,2,p,ind,i_2,+,471,Natália,499,sempre,606,mostrou,485,bastante dedicação,1409,e eles,775,obviamente,663,estavam,635,muito contentes,593,com o desempenho,2296,tão exemplar,458,na enfermaria,503,da clínica.,818,3347
Lista1,2a,1,11/10/13,18:08:45,2,s,inf,i_6,Na vila onde morava,1441,Daniela,421,costumava,404,contar,386,muita vantagem,594,e ele,378,logicamente,426,estava,424,mais que acostumado,1062,a lidar,475,com tanta mentira,455,contada,548,todos os dias.,461,1992
Lista1,2a,1,11/10/13,18:08:45,2,s,cor,i_21,+,395,Maurício,395,ganhava,443,a vida,424,como repórter,502,e ele,401,com frequência,432,publicava,382,as matérias,429,mais importantes,684,com muito destaque,719,nas edições semanais,369,da revista.,641,1832
Lista1,2a,1,11/10/13,18:08:45,2,p,ind,i_12,+,333,Joana,479,era,459,professora,504,fazia tempo,1315,e eles,429,quase nunca,411,recebiam,538,reclamações graves,1044,sobre as aulas,553,que eram dadas,514,ali,444,na escola estadual.,666,2111
Lista1,2a,1,11/10/13,18:08:45,2,p,inf,i_1,Ali na confecção da loja,1307,Adriana,534,costurava,511,por dez horas,602,todo dia,497,e eles,444,ainda assim,473,diziam,518,que o trabalho,575,de costura,439,era muito tranquilo,1317,e quase nada,430,cansativo.,573,2331
Lista1,2a,1,11/10/13,18:08:45,2,p,ind,i_37,+,750,Valéria,478,tocava,635,guitarra,496,como ninguém,572,e eles,452,claramente,401,sentiam,447,bastante orgulho,717,de um talento,351,tão natural,640,ali na escola,469,de música.,754,1708
Lista1,2a,1,11/10/13,18:08:45,2,p,inf,i_32,Na lanchonete vegetariana,905,Celina,372,sempre,564,se alimentava,397,muito bem,444,e eles,506,geralmente,437,preparavam,402,as refeições,481,apenas,463,com alimentos saudáveis,1050,e produzidos,495,de forma orgânica.,794,1994
Lista1,2a,1,11/10/13,18:08:45,2,p,ind,i_5,+,449,Carolina,574,anunciou,470,sua,466,aposentadoria,511,e eles,489,naturalmente,453,lamentavam,466,o fim prematuro,446,de uma carreira,588,tão bela,435,na companhia,465,de balé.,461,1469
Lista1,2a,1,11/10/13,18:08:45,2,s,cor,i_3,+,398,Fabrício,493,acabou,441,compondo,406,belas canções,453,e ele,402,claramente,449,lucrava,446,um bom dinheiro,444,com as composições,425,mais famosas,503,que tocavam bastante,466,na rádio.,526,1372
Lista1,2a,1,11/10/13,18:08:45,2,s,ind,i_28,+,582,Irene,494,passava,473,toneladas,518,de roupa,480,e ele,556,claramente,517,dependia,511,daquelas roupas todas,538,para conseguir,755,algum lucro,468,na lavanderia,528,onde trabalhava.,458,1761
Lista1,2a,1,11/10/13,18:08:45,2,p,ind,i_19,+,486,Joelma,545,fazia,411,uma torta,842,bem gostosa,775,e eles,471,geralmente,483,vendiam,559,esse quitute,471,por um preço,932,bastante razoável,909,na doceria,504,onde ela trabalhava.,579,2312
Lista1,2a,1,11/10/13,18:08:45,2,s,ind,i_27,+,426,Suzana,504,nunca foi,691,muito,518,responsável,560,e ele,809,com frequência,408,perdia,423,vários clientes,533,e muito dinheiro,446,por causa disso,764,ali na agência,508,de viagens.,519,1743
Lista1,2a,1,11/10/13,18:08:45,2,s,inf,i_22,Na filial da Globo,713,Mariana,988,ganhava bem,435,como ,432,maquiadora,430,e ele,445,claramente,474,estava,407,bastante contente,821,com o trabalho,435,realizado,449,junto às atrizes,510,mais famosas.,425,1705
Lista1,2a,1,11/10/13,18:08:45,2,p,cor,i_9,+,402,Eduardo e Eliane,849,eram,478,competentes,426,no que faziam,601,e eles,479,inclusive,460,dependiam,472,dessa competência,1077,para fechar,664,vários contratos,845,com clientes,426,milionários.,441,2586
Lista1,2a,1,11/10/13,18:08:45,2,s,inf,i_13,Dentro da Polícia Federal,1423,Marília,452,era,641,rebelde,582,ao extremo,734,e ele,655,frequentemente,756,comentava,596,que isso,572,atrapalhava bastante,3828,a carreira,487,e qualquer plano,467,de promoção.,511,4887
Lista1,2a,1,11/10/13,18:08:45,2,s,inf,i_11,Durante as aulas de teatro,1327,Lorena,393,era,488,uma pessoa,452,bem tímida,545,e ele,490,raramente,454,conseguia,451,superar,464,aquela timidez,556,quase doentia,485,nas atividades,529,em grupo.,651,1505
Lista1,2a,1,11/10/13,18:08:45,2,s,cor,i_17,+,416,Damião,527,estudava,553,física,641,todo dia,519,e ele,401,certamente,448,possuía,414,os melhores livros,493,e revistas,520,sobre o assunto,722,que mais,372,lhe interessava.,501,1735
Lista1,2a,1,11/10/13,18:08:45,2,s,cor,i_18,+,500,Josué,2159,falava,742,feito,536,uma matraca,897,e ele,492,quase nunca,552,percebia,464,quão inconveniente,1613,era,507,aquele falatório,518,em meio,608,às outras vozes.,487,2638
Lista1,2a,1,11/10/13,18:08:45,2,p,ind,i_31,+,510,Alice,553,sempre,530,comia,604,bastante carne,851,e eles,574,geralmente,646,assavam,1356,uma picanha,756,suculenta,708,e apetitosa,1079,ali na churrascaria,875,do Leblon.,758,2543
Lista1,3a,1,10-17-2013,9:51:03,2,p,cor,i_8,+,1185,Regina e Mateus,1888,entoavam,1426,canções,1144,populares,1305,e eles,1091,rapidamente,1334,seguiam,1326,a melodia cantada,1288,com um batuque,1539,animado,1411,para dar cadência,2105,à música.,818,4238
Lista1,3a,1,10-17-2013,9:51:03,2,p,inf,i_25,Nas aulas de recuperação,2046,Verônica,1050,não costumava,1086,estudar,1169,muito,801,e eles,767,naturalmente,959,tentavam,936,escolher,1185,tópicos de estudo,1168,que a motivassem,1663,e melhorassem,1019,seu desempenho.,1073,4016
Lista1,3a,1,10-17-2013,9:51:03,2,p,cor,i_40,+,940,Ângelo e Chico,1989,trabalhavam,963,como,699,secretários,766,e eles,766,geralmente,638,recebiam,995,várias ligações,1018,de pessoas,720,muito importantes,722,ao longo,772,de todo o dia.,1076,2460
Lista1,3a,1,10-17-2013,9:51:03,2,s,ind,i_36,+,604,Carina,835,tocava,752,flauta,705,sem muito empenho,1188,e ele,915,obviamente,1197,estava,588,bastante descontente,1203,com,770,aquela situação,785,nas apresentações,1201,da orquestra.,831,2758
Lista1,3a,1,10-17-2013,9:51:03,2,p,ind,i_19,+,630,Joelma,620,fazia,674,uma torta,1126,bem gostosa,728,e eles,794,geralmente,761,vendiam,938,esse quitute,1091,por um preço,998,bastante razoável,1101,na doceria,1887,onde ela trabalhava.,3073,3190
Lista1,3a,1,10-17-2013,9:51:03,2,s,cor,i_41,+,645,Diogo,746,traduzia,732,obras,685,importantes,737,e ele,802, felizmente,1217,conseguia,622,um bom lucro,820,publicando,673,as melhores traduções,774,na forma,1046,de coleções especiais.,1130,2267
Lista1,3a,1,10-17-2013,9:51:03,2,p,inf,i_38,Na secretaria de cultura,2168,Marcela,974,tomou posse,822,como,708,secretária,791,e eles,790,certamente,821,estavam,771,bem contentes,1107,com sua nomeação,1077,inesperada,1017,feita pelo ministro,1135,da cultura.,944,3201
Lista1,3a,1,10-17-2013,9:51:03,2,s,inf,i_7,Na cantina italiana,902,Samira,720,cozinhava,754,com muita,643,pimenta,472,e ele,628,certamente,523,achava,597,que isso afastaria,812,os clientes,1147,mais sensíveis,940,e de paladar,789,mais delicado.,1284,2899
Lista1,3a,1,10-17-2013,9:51:03,2,s,cor,i_21,+,475,Maurício,744,ganhava,521,a vida,499,como repórter,702,e ele,641,com frequência,790,publicava,629,as matérias,667,mais importantes,687,com muito destaque,867,nas edições semanais,847,da revista.,843,2221
Lista1,3a,1,10-17-2013,9:51:03,2,s,inf,i_26,Na santa casa de saúde,1524,Aline,549,nunca,414,parava,413,para descansar,924,e ele,485,raramente,801,chamava,687,outras pessoas,1027,para ajudá-la,1208,com o trabalho,1271,nos plantões,1266,do turno da noite.,846,3506
Lista1,3a,1,10-17-2013,9:51:03,2,s,ind,i_33,+,790,Nádia,806,só cantava,916,música,702,sertaneja,577,e ele,665,geralmente,653,prometia,546,um novo repertório,908,para cada,1862,show feito,1194,na casa noturna,921,da cidade.,594,3964
Lista1,3a,1,10-17-2013,9:51:03,2,p,ind,i_31,+,521,Alice,531,sempre,429,comia,444,bastante carne,649,e eles,718,geralmente,480,assavam,476,uma picanha,648,suculenta,973,e apetitosa,629,ali na churrascaria,1548,do Leblon.,876,2250
Lista1,3a,1,10-17-2013,9:51:03,2,s,inf,i_6,Na vila onde morava,1451,Daniela,1039,costumava,532,contar,654,muita vantagem,898,e ele,669,logicamente,706,estava,788,mais que acostumado,963,a lidar,475,com tanta mentira,647,contada,812,todos os dias.,811,2085
Lista1,3a,1,10-17-2013,9:51:03,2,s,cor,i_23,+,547,Leonardo,524,gastava,486,sem,978,se preocupar,602,e ele,576,inclusive,520,parcelava,707,todas aquelas compras,853,em várias vezes,594,com juros,553,em seus cartões,770,de crédito.,658,2000
Lista1,3a,1,10-17-2013,9:51:03,2,p,cor,i_42,+,547,Beatriz e Cândido,1037,viajavam,546,quase,523,todo dia,566,e eles,622,quase sempre,644,tentavam,489,fazer as reservas,773,dos voos,1045,em classe executiva,890,quando a viagem,885,era longa.,576,2708
Lista1,3a,1,10-17-2013,9:51:03,2,s,cor,i_3,+,404,Fabrício,531,acabou,477,compondo,585,belas canções,625,e ele,455,claramente,675,lucrava,519,um bom dinheiro,545,com as composições,890,mais famosas,774,que tocavam bastante,918,na rádio.,639,2209
Lista1,3a,1,10-17-2013,9:51:03,2,s,ind,i_39,+,584,Sueli,848,trabalhava,1037,como,498,advogada,589,e ele,469,semanalmente,705,revisava,564,todos os contratos,685,de licitação,464,e de venda,797,ali na sede,780,da construtora.,732,1946
Lista1,3a,1,10-17-2013,9:51:03,2,p,inf,i_1,Ali na confecção da loja,1830,Adriana,651,costurava,463,por dez horas,780,todo dia,540,e eles,534,ainda assim,671,diziam,691,que o trabalho,775,de costura,438,era muito tranquilo,820,e quase nada,834,cansativo.,415,2033
